Titre;Ville;Date début;Date de fin
Visite libre des collections.;Chambéry;2018-09-15;2018-09-16
Visite commentée de l'exposition 'Des guerres dans la Grande Guerre'.;Chambéry;2018-09-15;2018-09-16
Atelier 'La petite traversée, histoires de construction...';Novalaise;2018-09-15;2018-09-15
Projection-débat du documentaire « Regards sur nos assiettes ».;Aillon-le-Jeune;2018-09-15;2018-09-15
Visite libre du musée régional de la vigne et du vin.;Montmélian;2018-09-15;2018-09-16
Visite du musée du félicien.;Argentine;2018-09-15;2018-09-16
Visite commentée : 'le fort Victor-Emmanuel à la lanterne'.;Aussois;2018-09-14;2018-09-14
Conférence et visite de l'église d'Hauteluce : regards sur une restauration exemplaire;Hauteluce;2018-09-14;2018-09-14
Mon métier de chimiste expliqué aux enfants;Chambéry;2018-10-06;2018-10-06
Les idées reçues et l’énergie;Chambéry;2018-10-06;2018-10-07
Et si on ralentissait la vitesse de la lumière ?;Chambéry;2018-10-06;2018-10-07
Mini-nuit de la lecture pour enfants;Hermillon;2019-01-18;2019-01-18
Journées Portes Ouvertes : François Massicot architecte;Le Bourget-du-Lac;2018-10-19;2018-10-20
Présentation des beaux plants du jardin d'Arclusaz;Saint-Pierre-d'Albigny;2019-06-08;2019-06-09
Visite libre.;Mâcot-la-Plagne;2018-09-15;2018-09-16
Projection d'un film.;Sollières-Sardières;2018-09-15;2018-09-15
'Opération rivières propres'.;Chambéry;2018-09-15;2018-09-15
Chapelle et village de la Thuile de Vulmix.;Bourg-Saint-Maurice;2018-09-15;2018-09-16
Visite libre de l'écluse.;Chanaz;2018-09-15;2018-09-16
L'usine de dépollution des eaux usées de Chambéry;Chambéry;2018-09-15;2018-09-15
Visite libre des salles basses.;Chambéry;2018-09-15;2018-09-16
Visite commentée de la centrale hydroélectrique Alpes-Hydro d'Argentine 1;Argentine;2018-09-15;2018-09-15
Visite commentée de l'église Notre-Dame de la Nativité.;;2018-09-15;2018-09-16
Exposition : 'S'engager et partager : une présence, les aumôniers'.;Aix-les-Bains;2018-09-15;2018-09-16
AG French Tech in the Alps - Chambéry;Le Bourget-du-Lac;2018-06-27;2018-06-27
Simulation en santé;Chambéry;2018-10-13;2018-10-13
lecture de paysage ludique sur les tours d'Albertville  'Détournons les tours';Albertville;2018-10-21;2018-10-21
La Tour Sarrasine;Albertville;2018-10-20;2018-10-20
Théâtre joué dans la maison d'Edouard Pailleron;Jacob-Bellecombette;2018-09-16;2018-09-16
Visite de l’atelier de production du groupe Poma;Gilly-sur-Isère;2018-10-08;2018-10-12
Visite commentée du théâtre du casino;Aix-les-Bains;2015-09-19;2015-09-20
Visite guidée de la Maison de Boigne;Chanaz;2015-09-20;2015-09-20
Les moulins d'Entremont-le-Vieux;Entremont-le-Vieux;2015-05-16;2015-05-16
STAGE SEJOUR ATELIER AU JARDIN 'POTAGE' 3j en semaine;Saint-Pierre-d'Albigny;2016-03-29;2016-04-01
Découverte de l'Atelier de l'eau;Cognin;2015-05-16;2015-05-16
Visite commentée du Grand Hôtel d'Aix-les-Bains;Aix-les-Bains;2015-09-19;2015-09-20
Visite libre;Saint-Nicolas-la-Chapelle;2015-09-19;2015-09-20
Visite guidée;Saint-Nicolas-la-Chapelle;2015-09-19;2015-09-20
Visite libre de la Scierie Hydraulique et du musée des machines et outils à bois;Bellecombe-en-Bauges;2015-09-20;2015-09-20
Conférence 'Du bain froid au bain plaisir : brève histoire des bains dans les lacs alpins';Aix-les-Bains;2015-09-17;2015-09-17
Visite théâtralisée du Jardin vagabond, par la Compagnie les Acrostiches;Aix-les-Bains;2015-09-19;2015-09-19
Copinage : La Tournée des Bauges - Léonid + Résonaboundi;Jarsy;2015-06-13;2015-06-13
AYAKAMON;Lescheraines;2014-11-28;2014-11-28
Visite de l'Atelier de l'eau;Cognin;2015-09-19;2015-09-20
JOURNEE troc ,echange des graines au chateau des Allues;Saint-Pierre-d'Albigny;2016-03-27;2016-03-27
A la lueur d'une lampe de poche;Montmélian;2014-05-17;2014-05-17
Concert  guitare;Aix-les-Bains;2014-05-17;2014-05-17
Visite commentée 'le quartier de l'hôpital';Chambéry;2015-09-20;2015-09-20
Visite libre;Aime;2015-09-19;2015-09-20
Découvrir l'oeuvre contemporaine d'art sacré de l'église de Saint Jean-de-Chevelu;Saint-Jean-de-Chevelu;2015-09-19;2015-09-20
Rencontres réelles et imaginaires;Chambéry;2014-05-17;2014-05-17
Amphis pour tous;Chambéry;2016-10-11;2016-10-11
Le sommeil;Chambéry;2016-10-13;2016-10-13
Tour Trésorerie;Chambéry;2016-09-17;2016-09-18
Les chapelles de la vallée d'Hauteluce;Hauteluce;2016-09-17;2016-09-17
Visite libre des jardins du Prieuré du Bourget-du-Lac;Le Bourget-du-Lac;2016-06-04;2016-06-05
Visite commentée 'Sur les pas du citoyen-poète Lamartine à Aix-les-Bains';Aix-les-Bains;2016-09-17;2016-09-18
Les explorations fonctionnelles neurologiques;Chambéry;2016-10-08;2016-10-12
Chimie et alimentation;La Chambre;2016-08-30;2016-10-12
Rafaelo Hermanos;Saint-Jean-de-Maurienne;2016-06-21;2016-06-21
Visite guidée 'Patrimoine et citoyenneté au centre-ville';Albertville;2016-09-17;2016-09-17
festival photo montmélian;Montmélian;2016-09-17;2016-09-17
Visite de la chapelle de l' Immaculée Conception;Montsapey;2016-09-18;2016-09-18
Le cheval au service des espaces agricoles, naturels, ruraux et urbains, à Saint Genix-sur-Guiers (73);Saint-Genix-sur-Guiers;2016-07-08;2016-07-08
Des chocolats fabriqués devant vous, à la montagne;Tours-en-Savoie;2016-10-12;2016-10-15
Il était une fois La Compôte-en-Bauges et ses grangettes;La Compôte;2016-09-18;2016-09-18
Eglise Saint Bernard;Val-d'Isère;2016-09-16;2016-09-18
Les chantiers Valoristes;Chambéry;2016-09-18;2016-09-18
Manu Corleone/Dutysound deejays;Aix-les-Bains;2017-06-21;2017-06-21
Visite de l'église St Barthélemy et de la chapelle;Montsapey;2017-09-17;2017-09-17
Quand le joyau baroque des Belleville retrouve sa jeunesse !;Saint-Martin-de-Belleville;2017-09-17;2017-09-17
Château de Manuel de Locatel;Albertville;2017-09-16;2017-09-16
Eglise Saint Maurice;Chamousset;2017-09-16;2017-09-17
Cartes Blanches à Elsa Dreisig amp Fiona Monbet;Aix-les-Bains;2017-03-28;2017-03-28
Exposition : José Solenga gt Capacités féminines;Lescheraines;2016-11-24;2016-11-26
Moulin à huile de noix et de noisette;Chanaz;2017-09-16;2017-09-17
Visite du Faubourg Montmélian, Buisson-Rond et le Bocage;Chambéry;2017-09-16;2017-09-16
Les mystères des monuments de la ville;Saint-Jean-de-Maurienne;2017-09-16;2017-09-17
Grande Traversée : Ateliers de découverte autour des cités lacustres;Novalaise;2017-09-15;2017-09-15
Visite guidée du site historique des grottes de Saint-Christophe;Saint Christophe la Grotte;2017-09-16;2017-09-17
The Rockin’ Stones + The Constantines;Barberaz;2016-11-26;2016-11-26
Eglise Saint-André;Bellentre;2017-09-16;2017-09-17
Présentation du château en 3D;Chambéry;2017-09-17;2017-09-17
Tournoi ALSH;Albertville;2016-10-25;2016-10-25
Soirée lecture, contes, légendes et histoires d'Aussois;Aussois;2017-01-14;2017-01-14
La Maurienne : la vallée des énergies d'avenir - Batterie Haute performance;Aiton;2017-03-21;2017-03-21
EXPOSITION 'Rêves de lac Jean-Louis Chanéac, architectures aixoises' - AIX LES BAINS;Aix-les-Bains;2017-07-01;2017-10-28
O-Fée;La Motte-Servolex;2017-06-21;2017-06-21
Visite d'un temple protestant;Bourgneuf;2017-09-16;2017-09-17
Chapelle Saint Benoît;Avrieux;2017-09-17;2017-09-17
Chapelle saint Joseph et saint François de Sales;Jarsy;2017-09-17;2017-09-17
Planétarium;Chambéry;2017-10-11;2017-10-14
Les premières fois (de l’évolution), on s’en souvient !;Saint-Maurice-de-Rotherens;2017-10-13;2017-10-13
Une idée lumineuse : la fée électricité;Saint-Maurice-de-Rotherens;2017-10-15;2017-10-15
Galletti dans l’Ombre Marconi dans la Lumière;Saint-Maurice-de-Rotherens;2017-10-14;2017-10-15
Découvrez l’hydroélectricité en Savoie;La Bathie;2017-10-10;2017-10-13
Le métier de charpentier;Sainte-Hélène-sur-Isère;2017-10-10;2017-10-12
WORKSHOP D'ARCHITECTURE;AIX LES BAINS;2017-10-14;2017-10-15
La Grande semaine de la Petite Enfance;COGNIN;2018-03-12;2018-03-18
La Grande semaine de la Petite Enfance;CHAMBERY;2018-03-12;2018-03-18
Découverte de la chapelle Saint-Jacques du quartier de Loutraz.;Modane;2018-09-15;2018-09-16
Visite libre d'un temple protestant.;Bourgneuf;2018-09-15;2018-09-16
Conférence « Histoire d’une restauration ».;Séez;2018-09-15;2018-09-15
« Accélérateur - Fond d’amorçage » avec « Grow Spot amp Kreaxi »;Challes-les-Eaux;2018-11-27;2018-11-27
naud-passajon architecte;CHAMBÉRY;2017-10-14;2017-10-15
Lancement de l'application pour smartphones 'Rousseau, Lamartine et le romantisme';Chambéry;2016-05-21;2016-05-21
Rendez vous au jardins 2016;Saint-Pierre-d'Albigny;2016-06-03;2016-06-05
Moulin à huile d'Aigueblanche;Aigueblanche;2015-09-19;2015-09-20
Visite libre du temple réformé d'Aix-les-Bains;Aix-les-Bains;2015-09-19;2015-09-20
Visite libre du Château de Carron;Francin;2015-09-19;2015-09-20
'Eglise ND de l'Assomption, un exemple d'art baroque';Villaroger;2015-09-20;2015-09-20
Visite commentée à la découverte des oiseaux;La Motte-Servolex;2015-09-19;2015-09-20
STAGE SEJOUR ATELIER AU JARDIN 'POTAGE' 2j en weekend;Saint-Pierre-d'Albigny;2016-03-18;2016-03-20
Le Fort Victor-Emmanuel à la lanterne;Aussois;2016-09-17;2016-09-17
Orange Bud / Le Printemps des Sons du Lac / Saint Pierre d'Albigny;Saint-Pierre-d'Albigny;2014-03-29;2014-03-29
Promenade Chemins de traverse;Chambéry;2015-06-06;2015-06-06
visite libre;Aussois;2015-09-19;2015-09-20
Lumière aux Charmettes !;Chambéry;2014-05-17;2014-05-17
Voyage au cœur des Alpes : le Lyon-Turin entre dans sa phase opérationnelle !;Modane;2016-10-10;2016-10-14
Visite pédagogique de l'Espace Alu;Saint-Michel-de-Maurienne;2016-10-10;2016-10-14
L'aluminium et ses étonnantes propriétés;Saint-Michel-de-Maurienne;2016-10-16;2016-10-16
Les Voix du Prieuré - Hommage à Henri DUTILLEUX : rencontre avec le compositeur Piotr MOSS;Le Bourget-du-Lac;2016-05-22;2016-05-22
Exposition de poteries de la famille Schlibs (artisans potiers cognerauds);Cognin;2016-09-17;2016-09-18
La tournée 'Phénoménal Handball' à Albertville;Albertville;2016-09-27;2016-09-28
Fabrication de moulins à eau et test dans notre fontaine pédagogique;Cognin;2016-05-21;2016-05-21
Le mont Granier;Chambéry;2016-05-21;2016-05-21
Ambiance muséale soutenue par un accompagnement musical;Chambéry;2016-05-21;2016-05-21
La Parade moderne;Chambéry;2017-09-17;2017-09-17
Bellevue - histoire d'une colline;Chambéry;2017-09-16;2017-09-17
Visite de « La petite boîte qui monte »;Gilly-sur-Isère;2017-10-13;2017-10-13
La recherche en Droit : rendez-vous en terre méconnue;Chambéry;2017-10-07;2017-10-08
Ancien Carillon;Chambéry;2016-09-17;2016-09-18
Norvège - ARY Macédoine;Albertville;2017-01-21;2017-01-21
Ensemble sur Mars !;Chambéry;2016-10-29;2016-10-29
Si Flumet m'était conté...;Flumet;2016-09-17;2016-09-17
Animations musicales;Chambéry;2017-09-16;2017-09-17
Les jardins familiaux de Lémenc;Chambéry;2017-06-02;2017-06-04
« Flashback du patrimoine » : rencontre avec Carine Fernandez;Chambéry;2017-09-15;2017-09-15
Le château, la Savoie, dix siècles d'histoire;Chambéry;2017-09-16;2017-09-17
Regard d'un photographe, Alexis Bérar, sur les usages de l'Alpette, alpage de Chartreuse, entre usage contemplatif et professionnel.;Entremont-le-Vieux;2017-05-20;2017-05-20
La Grande semaine de la Petite Enfance;LA RAVOIRE;2018-03-12;2018-03-18
FORUM FORMATION ALTERNANCE ALBERTVILLE;Albertville;2018-03-28;2018-03-28
La Grande semaine de la Petite Enfance;VOGLANS;2018-03-12;2018-03-18
Journée Portes ouvertes au centre de FLE de l'Université Savoie Mont Blanc;Jacob-Bellecombette;2018-03-20;2018-03-20
Visite accompagnée de l'église Saint Martin : le baroque dans tous les sens.;Saint-Martin-de-Belleville;2018-09-15;2018-09-15
Visite commentée du site 'Le palais de la mine'.;Peisey-Nancroix;2018-09-16;2018-09-16
Exposition 'Francin en partage'.;Francin;2018-09-15;2018-09-16
Animation jeune public 'Jeu de l'oie du théâtre des princes'.;Chambéry;2018-09-15;2018-09-16
Visite commentée 'Une longue histoire européenne racontée par les artisans de la cathédrale'.;Moutiers;2018-09-15;2018-09-16
Exposition à la salle Saint-Maurice.;Les Marches;2018-09-15;2018-09-16
Visite commentée 'Paysans des Alpes, une identité au-delà des frontières'.;Moutiers;2018-09-15;2018-09-16
Visite commentée de l'exposition collective et découverte des piscines Pétriaux.;Aix-les-Bains;2018-09-14;2018-09-16
Visite du village de Vulmix.;Bourg-Saint-Maurice;2018-09-15;2018-09-15
Val Cenis Lanslevillard - Eglise St Michel;Lanslevillard;2018-09-16;2018-09-16
Visite commentée du fort du Télégraphe, spectaculaire belvédère sur la Maurienne.;Valloire;2018-09-15;2018-09-15
Le jour de la Nuit;Chambéry;2018-10-13;2018-10-13
Patrimoine de pierre à Chambéry;Chambéry;2018-10-11;2018-10-11
Le meilleur des M'ondes - Blandine Bigeard-Bertho;Chambéry;2018-10-05;2018-10-05
Les dessous de la piscine de Buisson rond.;Chambéry;2018-09-15;2018-09-16
Val Cenis Bramans - Eglise Notre Dame de l'Assomption et chapelle de la Congrégation;Lanslebourg-Mont-Cenis;2018-09-15;2018-09-16
Fabrication d'une mangeaoire en osier;Chambéry;2018-10-10;2018-10-10
Vous avez dit « ours des cavernes » ?;Chambéry;2018-10-06;2018-10-07
La magie du système solaire;Chambéry;2018-10-13;2018-10-14
Encres Végétales au jardin;Le Chatelard;2016-06-03;2016-06-05
Visite guidée;Sollières-Sardières;2015-09-19;2015-09-19
Visite commentée 'Le faubourg Montmélian';Chambéry;2015-09-20;2015-09-20
Visite non-guidée de l'Espace Alu;Saint-Michel-de-Maurienne;2015-09-19;2015-09-20
Conte scientifique 'Le monde fascinant des abeilles';Saint-Michel-de-Maurienne;2015-05-16;2015-05-16
STAGE SEJOUR ATELIER AU JARDIN 'POTAGE' 3j en semaine;Saint-Pierre-d'Albigny;2016-04-19;2016-04-22
STAGE SEJOUR ATELIER AU JARDIN 'POTAGE' 2j en weekend;Saint-Pierre-d'Albigny;2016-06-03;2016-06-05
Promenade aux Charmettes;Chambéry;2015-06-06;2015-06-06
L'histoire de l'ancienne église Saint-Pierre-aux-Liens, de sa construction à son abandon et à sa renaissance;Grésy-sur-Isère;2015-09-19;2015-09-20
Visite guidée du bâtiment des archives départementales;Chambéry;2015-09-19;2015-09-20
Visite libre des Salles basses;Chambéry;2015-09-19;2015-09-20
Le château de Thomas II : un patrimoine sauvegardé.;Le Bourget-du-Lac;2015-09-19;2015-09-20
Correspondances;Modane;2015-05-16;2015-05-16
El Encina;Aix-les-Bains;2015-05-16;2015-05-16
Action participative du public : ' Photographier la peinture';Chambéry;2014-05-17;2014-05-17
Grande Traversée : Expérimenter, découvrir la vie des premiers habitants du lac.;Novalaise;2017-09-16;2017-09-17
Les métiers d'autrefois;Francin;2017-09-16;2017-09-17
Rallye Patrimoine;Montmélian;2017-09-16;2017-09-17
2000 ans d'histoire : grande déambulation dans les Thermes historiques;Aix-les-Bains;2017-09-16;2017-09-17
Visite libre;Montmélian;2017-09-16;2017-09-17
École de musiques actuelles D.E.V.A;Aix-les-Bains;2017-06-21;2017-06-21
Naissance de la scène nationale : témoignages des contemporains et acteurs;Chambéry;2017-09-16;2017-09-16
Conférence brunch avec la Maison de l'architecture de Savoie;Chambéry;2017-09-17;2017-09-17
Conférence du cabinet Fabre-Speller;Chambéry;2017-09-16;2017-09-16
La micro-crèche invite les familles dans un monde d'enchantement.;Aix-les-Bains;2017-03-13;2017-03-17
LES ATELIERS DU LAC;;2016-07-04;2016-08-25
Atelier décoration de voiles et régates;Cognin;2016-05-21;2016-05-21
Semaine de la Musique !;Aime;2016-06-20;2016-06-24
Visite de la station d'épuration de la Praz;Modane;2016-10-08;2016-10-08
Ferme de Bressieux - Mairie - Médiathèque;Bassens;2016-09-17;2016-09-17
Exposition permanente du Museobar;Modane;2016-09-17;2016-09-18
Citoyenneté;Aix-les-Bains;2016-09-17;2016-09-18
Visites guidées de la maison de Boigne;Chanaz;2016-09-18;2016-09-18
Académie des Sciences, Belles-Lettres et Arts de Savoie;Chambéry;2016-09-17;2016-09-18
Galletti;Chambéry;2016-10-08;2016-10-08
Jardinons à l'école;Chambéry;2016-10-10;2016-10-14
Escapade dans le vignoble de Montmélian;Montmélian;2016-09-18;2016-09-18
Visite de la basilique Saint Martin d'Aime;Mâcot-la-Plagne;2017-09-16;2017-09-17
Visite de la tour des Sires de Montmayeur;Mâcot-la-Plagne;2017-09-16;2017-09-17
Scène acoustique de la rue de Boigne;Chambéry;2017-06-21;2017-06-21
Chapelle du St Esprit Arc 1800;Bourg-Saint-Maurice;2017-09-16;2017-09-17
Visite commentée de la cathédrale des Bauges;Jarsy;2017-09-17;2017-09-17
D'AUTRES REGARDS;Chambéry;2016-10-08;2016-10-09
La Réforme, un coup de jeune . . . vieux de 500 ans !;Chambéry;2017-09-16;2017-09-17
RUSTY LEGS en concert au Festival d'ALBERTVILLE (73);Albertville;2017-08-26;2017-08-27
Eglise Notre-Dame de l'Assomption de Yenne - Diocèse de Chambéry - 73;Yenne;2017-07-01;2017-07-01
Visite guidée de la Maison de Boigne;Chanaz;2017-09-17;2017-09-17
Soirée Burning Raven Prod;Barberaz;2016-11-26;2016-11-26
Visite accompagnée des Charmettes;Chambéry;2017-09-16;2017-09-17
Expériences autour de l’acier avec Ugitech;Chambéry;2016-10-08;2016-10-09
Visite du chantier de l'église d'Hauteville-Gondon;Bourg-Saint-Maurice;2017-09-16;2017-09-17
Parcours à croquer;Albertville;2017-09-16;2017-09-16
Thermes de Challes-les-Eaux;Challes-les-Eaux;2017-09-16;2017-09-16
Conférences historiques (45 minutes);Chambéry;2017-09-16;2017-09-16
Visite libre;Lanslevillard;2017-09-17;2017-09-17
La Neige et L'Architecte - Les 25 ans des J.O., c'est Magique!;Albertville;2017-05-20;2017-05-20
Visite guidée des thermes de Challes-les-Eaux;Challes-les-Eaux;2016-09-17;2016-09-18
ATELIER SCULPTURE;Saint-Pierre-d'Albigny;2017-09-16;2017-09-17
Le jardin entre à l’école;Chambéry;2017-10-09;2017-10-13
Énergie et Bâtiment : idées reçues;Chambéry;2017-10-07;2017-10-08
Des scientifiques dans ma ville;Chambéry;2017-10-07;2017-10-08
Les falsifications en Préhistoire Enquêtes anthropologiques;Chambéry;2017-10-07;2017-10-07
Projections et partage de l'héritage culturel et sportif des Jeux Olympiques d'hiver.;Albertville;2018-09-15;2018-09-16
La Grande semaine de la Petite Enfance;AIX LES BAINS;2018-03-12;2018-03-18
La Grande semaine de la Petite Enfance;LA RAVOIRE;2018-03-12;2018-03-18
La Grande semaine de la Petite Enfance;AIX LES BAINS;2018-03-12;2018-03-18
La Grande semaine de la Petite Enfance;AIX LES BAINS;2018-03-12;2018-03-18
Visite en famille 'Jardin en couleurs';Chambéry;2018-06-03;2018-06-03
Visite du trésor de la cathédrale.;Chambéry;2018-09-15;2018-09-16
Visite commentée par l'association Arts En Chœur.;Saint-Jean-de-Chevelu;2018-09-15;2018-09-16
Visite libre de l'atelier de l'eau.;Cognin;2018-09-15;2018-09-16
Circuit commenté.;Les Marches;2018-09-16;2018-09-16
Patrimoine, psychiatrie et culture.;Bassens;2018-09-15;2018-09-15
Atelier 'Le petit marché des savoir-faire alimentaires'.;Aillon-le-Jeune;2018-09-16;2018-09-16
'L'usine du Villard au temps de la première guerre mondiale'.;Planay;2018-09-15;2018-09-16
Visite guidée du théâtre et de ses coulisses.;Albertville;2018-09-15;2018-09-15
Atelier sculpture.;Saint-Pierre-d'Albigny;2018-09-15;2018-09-16
Spectacle 'La vie voyage'.;Saint-Maurice-de-Rotherens;2018-09-15;2018-09-15
Projection d'un documentaire sur le patrimoine viticole.;Les Marches;2018-09-16;2018-09-16
Visite libre du bourg médiéval.;Les Marches;2018-09-15;2018-09-16
Conférences historiques sur la thématique de la fin du conflit dans le cadre des commémorations du centenaire.;Chambéry;2018-09-15;2018-09-15
Hackathon du Cinéma;Bourg-Saint-Maurice;2018-11-16;2018-11-16
Journées Portes Ouvertes : Le Chat Architecte;Yenne;2018-10-20;2018-10-20
Journées Portes Ouvertes : Philippe Bouche Architecte;Chambéry;2018-10-19;2018-10-20
Atelier « Initiation sculpture animale sur metal »;Saint-Pierre-d'Albigny;2019-06-08;2019-06-08
Visite commentée de la salle des délibérations du département de la Savoie.;Chambéry;2018-09-15;2018-09-16
Visite commentée pour scolaires.;Albertville;2018-09-14;2018-09-14
Visite commentée 'Conflans sonore et nocturne'.;Albertville;2018-09-15;2018-09-15
Visite guidée  'La télégraphie : des signaux (signes hauts) de partage dans l'histoire Galletti, un pionnier de la TSF'.;Saint-Maurice-de-Rotherens;2018-09-15;2018-09-16
Concert à la ferme de Bressieux.;Bassens;2018-09-15;2018-09-15
Atelier 'Apprenti archéologue'.;Chanaz;2018-09-15;2018-09-16
Circuit de Queige et du Beaufortain.;Queige;2018-09-16;2018-09-16
2è édition – ARCHITECTURE PATISSIERE – Lycée Professionnel Hôtelier-Challes-les-Eaux;Challes-les-Eaux;2017-07-24;2017-07-24
Dolce vita;Aix-les-Bains;2017-06-21;2017-06-21
Visite de la chapelle Sainte Marguerite;Granier;2017-09-16;2017-09-17
Eglise de Novalaise - Diocèse de Chambéry - 73;Gerbaix;2017-07-01;2017-07-01
Artiste surprise;Aix-les-Bains;2017-06-21;2017-06-21
Formation de 12 Violoncelles;Aix-les-Bains;2016-05-21;2016-05-21
'Ostinato';Aix-les-Bains;2016-05-21;2016-05-21
Exposition : 'Poétique d'une estive';Chambéry;2016-09-17;2016-09-18
Visite libre du Musée Opinel;Saint-Jean-de-Maurienne;2016-10-08;2016-10-15
Scène du Boulevard de la Colonne;Chambéry;2017-06-21;2017-06-21
Scène du palais de Justice;Chambéry;2017-06-21;2017-06-21
Qu'est-ce qu'une maison forte?;Montailleur;2017-09-16;2017-09-17
Allées contées;Chambéry;2017-09-16;2017-09-16
Surprises musicales sur le Versant du Soleil;Valezan;2017-09-17;2017-09-17
Visite du musée d'archéologie;Val Cenis;2017-09-16;2017-09-17
L'archéologie en Haute Maurienne Vanoise;Val Cenis;2017-09-17;2017-09-17
Sur les traces de l'Homme;Chambéry;2017-05-20;2017-05-20
Projection-débat contre le racisme  lundi 20 mars à 19 h. au cinéma l'Astrée à Chambéry;Chambéry;2017-03-20;2017-03-20
Jardin Le Farou;;2017-06-03;2017-06-04
Les Impromptus + Freelectrons;La Motte-Servolex;2017-06-21;2017-06-21
Chapelle Notre-Dame-de-Tout-Pouvoir;Bozel;2017-09-16;2017-09-17
Les Tribunes Libres;Chambéry;2017-06-21;2017-06-21
Retour en enfance;Grésy-sur-Isère;2017-09-16;2017-09-17
Venez découvrir les métiers de l'industrie sur le bassin Chambérien;Chambéry;2017-03-21;2017-03-21
Eglise paroissiale Saint-Sigismond;Aime;2016-09-17;2016-09-18
Visite guidée : secrets des maisons, cours et jardins yennois;Yenne;2016-09-18;2016-09-18
Pause baroque en musique;Saint-Nicolas-la-Chapelle;2016-09-17;2016-09-17
Balade citoyenne;Chambéry;2016-09-17;2016-09-17
Initiation aux techniques de la dorure;Albertville;2016-09-18;2016-09-18
La rue de Boigne;Chambéry;2016-09-18;2016-09-18
